Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
146,842,87.00565338134766,77.93939208984375,30633
147,843,87.64044952392578,78.40487670898438,29757
148,844,87.00565338134766,77.56349182128906,29949
149,846,87.00565338134766,77.81991577148438,29675
150,847,87.00565338134766,77.91047668457031,29915
151,855,87.00565338134766,77.2329330444336,29817
152,856,87.00565338134766,77.87754821777344,30755
153,857,85.0574722290039,74.7153091430664,30456
154,858,86.36363983154297,76.77265930175781,30317
155,859,87.64044952392578,78.63294982910156,30063
156,1146,86.36363983154297,76.70845794677734,29818
157,1147,87.00565338134766,77.69479370117188,30130
158,1148,88.26815795898438,79.11559295654297,30613
159,1151,86.36363983154297,76.8402099609375,30364
160,1152,86.36363983154297,76.12921142578125,30088
161,1153,87.64044952392578,78.62783813476562,30260
162,1154,85.71428680419922,75.24212646484375,29943
163,1155,87.00565338134766,77.47625732421875,31033
164,1156,87.00565338134766,77.81134796142578,31245
165,1157,87.00565338134766,77.81514739990234,30293
166,1158,87.64044952392578,78.7541275024414,29500
167,1299,85.71428680419922,75.34899139404297,30463
168,1301,87.64044952392578,78.69316101074219,29850
169,1304,87.64044952392578,78.25769805908203,30672
170,1305,87.64044952392578,78.24944305419922,29580
171,1307,86.36363983154297,76.67768096923828,31059
172,1309,87.00565338134766,77.99304962158203,30138
173,1310,85.71428680419922,75.75381469726562,30621
174,1312,88.26815795898438,79.04429626464844,29768
175,1313,88.26815795898438,79.3669204711914,29483
176,1314,86.36363983154297,76.22635650634766,29831
177,1315,87.00565338134766,77.77246856689453,29272
178,1583,87.64044952392578,78.50395202636719,30112
179,1584,86.36363983154297,76.70964813232422,29736
180,1585,87.64044952392578,78.27352905273438,30246
181,1586,87.00565338134766,77.09233856201172,29531
182,1588,87.00565338134766,77.08269500732422,30268
183,1592,85.71428680419922,75.15953826904297,31110
184,1593,86.36363983154297,76.22940826416016,29918
185,1594,87.64044952392578,78.60498046875,30309
186,1597,87.00565338134766,77.9017333984375,30163
187,1598,87.00565338134766,77.5057144165039,29409
188,1599,86.36363983154297,76.48258209228516,29823
189,1604,88.26815795898438,79.34970092773438,29266
190,1605,87.64044952392578,78.47543334960938,29706
191,1608,87.00565338134766,77.16383361816406,29722
192,1609,85.71428680419922,75.15261840820312,30902
193,1612,87.64044952392578,78.036865234375,30187
194,1613,85.71428680419922,75.51896667480469,30460
195,1614,87.64044952392578,78.77279663085938,30506
196,1615,86.36363983154297,76.4649429321289,30324
197,1618,87.00565338134766,77.14576721191406,30700
198,1619,87.64044952392578,78.4183578491211,30309
199,1620,87.64044952392578,78.08460998535156,30517
200,1622,87.64044952392578,78.7979965209961,29609
201,1623,87.64044952392578,78.10877990722656,29839
202,1625,87.00565338134766,77.30609893798828,30455
203,1628,87.64044952392578,78.49885559082031,30324
204,1630,88.26815795898438,79.2425537109375,29723
205,1632,87.64044952392578,78.75831604003906,29635
206,1633,85.71428680419922,75.35773468017578,30326
207,1634,85.71428680419922,75.45352935791016,30613
208,1636,86.36363983154297,76.7025146484375,29952
209,1638,87.00565338134766,77.9601058959961,29645
210,1639,87.64044952392578,78.09928894042969,29382
211,1640,88.26815795898438,79.01256561279297,30177
212,1641,87.64044952392578,78.63458251953125,30455
213,1642,88.26815795898438,79.79733276367188,29328
214,1645,87.64044952392578,78.70832824707031,30024
215,1646,87.00565338134766,77.79491424560547,29392
216,1647,87.64044952392578,78.13961791992188,29922
217,1648,88.26815795898438,79.0118408203125,29799
218,1649,88.26815795898438,79.19837951660156,29945
219,1650,87.64044952392578,78.30422973632812,30041
220,1684,87.00565338134766,77.72821044921875,29876
221,1686,86.36363983154297,76.49517822265625,29615
222,1687,87.00565338134766,77.57556915283203,30507
223,1689,87.00565338134766,77.87723541259766,29353
224,1691,85.71428680419922,75.44026184082031,30876
225,1692,87.64044952392578,78.6246109008789,28807
226,1693,87.64044952392578,78.66600799560547,28595
227,1694,85.71428680419922,75.24786376953125,30632
228,1695,86.36363983154297,76.5240249633789,29628
229,1696,87.64044952392578,78.13780975341797,29678
230,1697,87.00565338134766,77.93722534179688,29819
231,1699,87.64044952392578,78.22957611083984,29717
232,1703,86.36363983154297,76.39435577392578,29351
233,1704,88.26815795898438,79.14496612548828,29422
234,1707,88.26815795898438,79.01383209228516,29546
235,1708,87.64044952392578,78.0377426147461,30440
